event_id,event_date,year,event_type,actor_1,actor_2,country,fatalities,location,latitude,longitude,notes,closest_border_km,closest_border_temple_km,y_km,x_km,grid_x,grid_y,grid_id,days_since_last_event_in_area,total_events_in_area,total_fatalities_in_area,events_last_30_days_in_area,events_last_90_days_in_area,tempo_risk,border_risk,temple_risk,cluster
10.0,2026-12-10,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Surin Province,14.316667,103.333333,RTAF carrying out an airstrike against RCAF munitions storage area,3.8089148673535904,145.3329913578403,1591.9407368595748,11133.302681134615,11130.0,1590.0,11130.0_1590.0,365.0,1,0,0.0,0.0,0.0027322404371584,0.2079471206256377,0.006833728954222,0
3.0,2026-07-24,2025,Military Offensive,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Samraong,14.366667,103.583333,Series of airstrikes by RTAF against RCAF forces across the border,5.005092204073085,118.18618540219045,1597.500483191803,11157.74834746078,11150.0,1590.0,11150.0_1590.0,365.0,2,0,0.0,1.0,0.0027322404371584,0.1665253365005333,0.0083902341250836,-1
18.0,2026-07-27,2025,Artillery Strike,Royal Thai Armed Forces,Cambodian Civilians,cambodia,0,Samraong,14.3667,103.5833,"RTA shelled Cambodian territory, targeting civilian and religious infrastructure",5.004500409727672,118.1896476969753,1597.5041526243822,11157.743146743602,11150.0,1590.0,11150.0_1590.0,3.0,2,0,0.0,1.0,0.25,0.1665417489821362,0.0083899904003607,-1
19.0,2026-12-13,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Pothisat Province,12.18531,102.74998,RTAF destroyed a bridge used by the RCAF to bring in reinforcements at the Trat border region area,4.203825861551497,322.1212772734677,1354.944651591208,11167.865506368344,11160.0,1350.0,11160.0_1350.0,365.0,2,0,1.0,2.0,0.0027322404371584,0.192166307367913,0.0030948132182383,-1
12.0,2026-12-20,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Trat,12.15785,102.728192,Thai Marines cross the border and capture a Cambodian Military post,1.962667379352406,325.9820894712364,1351.8912389055483,11166.651639683116,11160.0,1350.0,11160.0_1350.0,7.0,2,0,0.0,0.0,0.125,0.3375336721797587,0.0030582714839736,-1
48.0,2026-07-26,2025,Airstrike,???,???,cambodia,0,Oddar Meanchey,14.1607,103.7809,,21.34109876124818,100.23503287366376,1574.597997735603,11189.250735484957,11180.0,1570.0,11180.0_1570.0,365.0,4,0,0.0,0.0,0.0027322404371584,0.0447605559013307,0.0098780034106172,0
32.0,2026-07-27,2025,Skirmish,Royal Cambodian Armed Forces,Royal Thai Armed Forces,cambodia,0,Oddar Meanchey,14.1607,103.7809,,21.34109876124818,100.23503287366376,1574.597997735603,11189.250735484957,11180.0,1570.0,11180.0_1570.0,1.0,4,0,1.0,1.0,0.5,0.0447605559013307,0.0098780034106172,-1
33.0,2026-12-06,2025,Artillery Strike,???,???,cambodia,0,Oddar Meanchey,14.1607,103.7809,,21.34109876124818,100.23503287366376,1574.597997735603,11189.250735484957,11180.0,1570.0,11180.0_1570.0,132.0,4,0,1.0,1.0,0.0075187969924812,0.0447605559013307,0.0098780034106172,-1
49.0,2026-12-06,2025,Airstrike,???,???,cambodia,0,Oddar Meanchey,14.1607,103.7809,,21.34109876124818,100.23503287366376,1574.597997735603,11189.250735484957,11180.0,1570.0,11180.0_1570.0,0.0,4,0,0.0,0.0,1.0,0.0447605559013307,0.0098780034106172,1
9.0,2026-12-19,2025,Skirmish,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Koh Kong,11.366667,102.75,Thai Navy opening fire on suspected Cambodian drones,36.06348228770486,396.01876939285535,1263.9157032581263,11201.183295540826,11200.0,1260.0,11200.0_1260.0,365.0,1,0,0.0,0.0,0.0027322404371584,0.0269807351677727,0.0025187726049558,-1
