event_id,event_date,year,event_type,actor_1,actor_2,country,fatalities,location,latitude,longitude,notes,closest_border_km,closest_border_temple_km,y_km,x_km,grid_x,grid_y,grid_id,days_since_last_event_in_area,total_events_in_area,total_fatalities_in_area,events_last_30_days_in_area,events_last_90_days_in_area,tempo_risk,border_risk,temple_risk
51.0,2026-09-13,2025,Protest,???,???,thailand,0,Sa Kaeo Province,13.6722,102.2824,,13.800287752069737,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,365.0,4,7,0.0,0.0,0.00273224043715847,0.06756625389666195,0.003680134927497292
39.0,2026-11-08,2025,Skirmish,???,???,thailand,1,Sa Kaeo Province,13.6722,102.2824,,13.800287752069737,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,56.0,4,7,0.0,0.0,0.017543859649122806,0.06756625389666195,0.003680134927497292
40.0,2026-12-06,2025,Skirmish,???,???,thailand,1,Sa Kaeo Province,13.6722,102.2824,,13.800287752069737,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,28.0,4,7,-1.0,-1.0,0.034482758620689655,0.06756625389666195,0.003680134927497292
22.0,2026-12-20,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,thailand,5,Sa Kaeo Province,13.6722,102.2824,,13.800287752069737,270.7291674629057,1520.279276069736,11051.009679177265,11050.0,1520.0,11050.0_1520.0,14.0,4,7,0.0,0.0,0.06666666666666667,0.06756625389666195,0.003680134927497292
7.0,2026-12-13,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Nong Ya Kaeo,13.716667,102.65,RTAF airstriking an ammunition depot belonging to RCAF across the border,1.6929398775150972,231.46607073812143,1525.2237808728394,11088.629500349167,11080.0,1520.0,11080.0_1520.0,365.0,1,0,0.0,0.0,0.00273224043715847,0.37134137614789503,0.004301703026273128
11.0,2026-09-16,2025,Protest,Cambodian Civilians,Royal Thai Armed Forces,cambodia,0,Ban Nong Chan,13.608333,102.624167,Cambodian civilians dismantling razor wire set up by Thai Military to deter movement at the border,0.1276705154968781,238.28204841589903,1513.177589689728,11090.935291655413,11090.0,1510.0,11090.0_1510.0,365.0,1,0,0.0,0.0,0.00273224043715847,0.8867838488792771,0.0041791685026947275
1.0,2026-09-17,2025,Protest,Royal Thai Police,Cambodian Civilians,thailand,0,Sa Kaeo Province,13.766667,102.7,Protest dispersed by use of force by Thai police,1.0995834418823982,224.56878783905654,1530.7835272050675,11091.663412769898,11090.0,1530.0,11090.0_1530.0,365.0,4,1,0.0,0.0,0.00273224043715847,0.4762849525539419,0.004433237459756625
54.0,2026-11-12,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,1,Prey Chan village in Banteay Meanchey,13.8051112,102.7347864,"Cambodian civilian killed, debate over which country shot first",0.5412197166621833,219.6823294587235,1535.0583272039762,11093.59384602095,11090.0,1530.0,11090.0_1530.0,56.0,4,1,1.0,1.0,0.017543859649122806,0.6488367551939306,0.004531400418206299
20.0,2026-12-09,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Sa Kaeo Province,13.80855,102.74963,RTAF recaptures area previously held by RCAF in Cambodian territory.,1.5960021052650166,218.038662790889,1535.4407043177216,11095.033052510888,11090.0,1530.0,11090.0_1530.0,27.0,4,1,0.0,0.0,0.03571428571428571,0.38520769993671233,0.004565404058162446
21.0,2026-12-09,2025,Airstrike,Royal Cambodian Armed Forces,Royal Thai Armed Forces,thailand,0,Sa Kaeo Province,13.83639,102.75856,Drone strike by RTAF against RCAF ,0.9391272933122704,216.20458416295506,1538.536371075506,11094.670872510043,11090.0,1530.0,11090.0_1530.0,0.0,4,1,0.0,0.0,1.0,0.5156959027129547,0.004603954395593061
8.0,2026-12-10,2025,Battle,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Boeung Trakoun,13.983333,102.85,Thai troops attacking across the border to prevent infiltration by Cambodian Military.,0.3957250045181882,202.4421560353625,1554.8756871814373,11097.492654079568,11090.0,1550.0,11090.0_1550.0,365.0,1,0,1.0,1.0,0.00273224043715847,0.716473515028274,0.004915402095061257
43.0,2026-07-26,2025,Battle,???,???,thailand,0,Trat,12.2032,102.4208,,31.078215920797778,344.8705669439236,1356.933928828879,11131.335906807286,11130.0,1350.0,11130.0_1350.0,365.0,3,0,1.0,1.0,0.00273224043715847,0.031173803507933067,0.0028912549825673116
44.0,2026-12-06,2025,Airstrike,???,???,thailand,0,Trat,12.2032,102.4208,,31.078215920797778,344.8705669439236,1356.933928828879,11131.335906807286,11130.0,1350.0,11130.0_1350.0,133.0,3,0,0.0,0.0,0.007462686567164179,0.031173803507933067,0.0028912549825673116
45.0,2026-12-06,2025,Battle,???,???,thailand,0,Trat,12.2032,102.4208,,31.078215920797778,344.8705669439236,1356.933928828879,11131.335906807286,11130.0,1350.0,11130.0_1350.0,0.0,3,0,0.0,0.0,1.0,0.031173803507933067,0.0028912549825673116
25.0,2026-07-19,2025,Civilian Movement,???,Cambodian Civilians,cambodia,0,Banteay Meanchey,13.7998,103.0782,,30.13681959691166,184.84815349911662,1534.4677487095817,11130.930103188328,11130.0,1530.0,11130.0_1530.0,365.0,4,0,0.0,0.0,0.00273224043715847,0.032116318010179376,0.0053807368067541935
36.0,2026-12-13,2025,Battle,???,???,cambodia,0,Banteay Meanchey,13.7998,103.0782,,30.13681959691166,184.84815349911662,1534.4677487095817,11130.930103188328,11130.0,1530.0,11130.0_1530.0,147.0,4,0,0.0,0.0,0.006756756756756757,0.032116318010179376,0.0053807368067541935
37.0,2026-12-13,2025,Artillery Strike,???,???,cambodia,0,Banteay Meanchey,13.7998,103.0782,,30.13681959691166,184.84815349911662,1534.4677487095817,11130.930103188328,11130.0,1530.0,11130.0_1530.0,0.0,4,0,0.0,0.0,1.0,0.032116318010179376,0.0053807368067541935
38.0,2026-12-20,2025,Artillery Strike,???,???,cambodia,0,Banteay Meanchey,13.7998,103.0782,,30.13681959691166,184.84815349911662,1534.4677487095817,11130.930103188328,11130.0,1530.0,11130.0_1530.0,7.0,4,0,0.0,1.0,0.125,0.032116318010179376,0.0053807368067541935
10.0,2026-12-10,2025,Airstrike,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Surin Province,14.316667,103.333333,RTAF carrying out an airstrike against RCAF munitions storage area,3.8089148673535904,145.3329913578403,1591.9407368595748,11133.302681134615,11130.0,1590.0,11130.0_1590.0,365.0,1,0,0.0,0.0,0.00273224043715847,0.20794712062563778,0.0068337289542220615
3.0,2026-07-24,2025,Military Offensive,Royal Thai Armed Forces,Royal Cambodian Armed Forces,cambodia,0,Samraong,14.366667,103.583333,Series of airstrikes by RTAF against RCAF forces across the border,5.005092204073085,118.18618540219045,1597.500483191803,11157.74834746078,11150.0,1590.0,11150.0_1590.0,365.0,2,0,0.0,1.0,0.00273224043715847,0.16652533650053336,0.008390234125083608
18.0,2026-07-27,2025,Artillery Strike,Royal Thai Armed Forces,Cambodian Civilians,cambodia,0,Samraong,14.3667,103.5833,"RTA shelled Cambodian territory, targeting civilian and religious infrastructure",5.004500409727672,118.1896476969753,1597.5041526243822,11157.743146743602,11150.0,1590.0,11150.0_1590.0,3.0,2,0,0.0,1.0,0.25,0.1665417489821362,0.008389990400360729
