COUNTRY,CITY,RNUMBER(USEFUL??),PTYPE,BDAY,BMONTH,BYEAR,EDAY,EMONTH,EYEAR,ACTOR1,ACTOR2,ACTOR3,TARGET1,TARGET2,NPART,NDEATH,Deathdummy,ELOCAL,REPORTID1,REPORTID2,REPORTID3,COMMENT
Guinea,Conakry,14,60,99,6,1991,99,6,1991,Supporters of Conde,,,Government,,99,0,0,99,$#12A,,,Clashes between supporters of Conde and the security forces which was provoked by questioning of Conde by the police
Guinea,Conakry,15,60,28,9,1993,29,9,1993,Supporters of opposition,,,Government,,99,8-Feb,1,99,$#13A,,,"Demonstrators who were marching through Conakry in one of a series of actions to support opposition demands, which police opened fire on."
Guinea,Conakry,16,31,2,2,1996,9,2,1996,Mutinous soldiers,,,Government,,99,50,1,99,$#14A,,,"Muitiny by soldiers on Feb. 2, demanding a pay rise and an improvement in their working conditions. President Conte claimed that the soldiers' actions had been part of a coup plot "
Guinea,Conakry,17,30,22,3,1996,22,3,1996,Army,,,Dissident troops,,99,1,1,99,$#15A,,,"Following the arrest of eight officers on March 22, dissident troops shot dead Col. Seny Bangoura, commander of the capital's Alpha Yaya barracks, where the mutiny had started. The killing gave rise to a huge military deployment in Conakry"
Guinea,Conakry,18,30,9,4,1996,9,4,1996,Army,,,Lt. Liamine Diarra,,99,0,0,Malian Embassy,$#16A,,,"Attack on the Malian Embassy. Mali claimed that the troops forced their way into the building in order to arrest Lt. Liamine Diarra, one of the alleged leaders of the mutiny. Mali had handed over Diarra to the Guinean authorities on April 9 "
Guinea,Conakry,19,51,29,3,1998,29,3,1998,Opposition,,,Government,,99,9,1,99,$#17A,,,"Violent clashes following the arrest of Mamadou Boye Bâ, the secretary general of the opposition Union for the New Republic (UNR) on March 29"
Guinea,Conakry,20,31,19,1,2005,19,1,2005,Gunmen,,,President Conté,,99,0,0,Outer suburbs of Conacry,$#18A,,,Assasination atempt against President Conté in the outer suburbs of Conacry
Guinea,Conakry,21,60,8,6,2006,16,6,2006,CNTG,USTG,,Government,,99,0,0,99,$#19A,,,"Indefinite general strike calling for wage increases and a reduction in the price of fuel by the country's main trade unions, CNTG and USTG"
Guinea,Conakry,22,51,13,6,2006,14,6,2006,Students,,,Government,,99,16,1,99,$#19B,,,"Clashes broke out between students and the security forces in Conakry, the capital, and elsewhere on June 13-14.  As many as 16 students died in the clashes, which erupted when final exams were cancelled because teachers had joined the general strike"
Senegal,Dakar,1,31,17,12,1962,18,12,1962,M. Mamadou Dia,,,Government,,99,0,0,99,$#1A,,,"Coup attempt by The Prime Minister of Senegal, M. Mamadou Dia. During the night of Dec. 16-17 some territorial guard units were ordered into the capital by M. Dia, and on the following morning these troops, together with gendarmerie, took possession of the Parliament building, Dakar radio, and the Government headquarters. By the night of Dec. 17-18 the forces loyal to President Senghor were in full control of Dakar; the four deputies who had been arrested under M. Dia's orders were released; and the gendarmerie and territorial guards, together with the Dakar police force, also declared their loyalty to the President. "
Senegal,Dakar,2,60,27,5,1968,1,6,1968,Student union,UNTS,,Government,,99,>1,1,99,$#2A,,,"The students' union at the University of Dakar on May 18, 1968, called for a strike to begin on May 27 in protest against a 22 per cent reduction in certain grants. On May 29 the police were ordered to expel students from the University buildings they had occupied, at least one student being killed and many injured in the process. The Government decided the same day to close the University and secondary schools for an indefinite period; all places of entertainment in Dakar were also closed, and the assembly of more than five persons and all meetings were prohibited. The Union nationale des travailleurs du Senegal (UNTS) thereupon called an unlimited strike to protest against the ""violation of personal and democratic freedom"".A state of emergency was declared on May 31. On June 2, 36 persons were sentenced to imprisonment from 18 months to three years for damage or injuries caused in demonstrations, but 31 trade unionists and five women demonstrators, arrested on May 31 and June 1, were released on June 8."
Senegal,Dakar,3,61,3,6,1968,14,6,1968,Peasants,,,Government,,99,1,1,99,$#2B,,,"Counter-demonstrations had been staged in Dakar on June 3 by peasants from the countryside expressing their loyalty to the President. Dakar subsequently returned to normal except for an incident at Pikine (a suburb of the city) on June 14, when a young man was killed while police were dispersing demonstrators."
Senegal,Dakar,4,60,25,3,1969,6,5,1969,Secondary school pupils,Students' union,,Government,,99,0,0,99,$#2C,,,"Secondary school pupils' strike was supported by the students' union. The strikes nevertheless continued, and the President claimed on April 3 that behind the agitation there was ""an attempt at subversion directed from abroad"". When strikers attempted on April 21 to evict non-strikers from classrooms, the police intervened with tear-gas and made several arrests, while on May 6 police dispersed pickets from the University and cleared the buildings of strikers. By this time pupils had begun gradually to return to school. "
Senegal,Dakar,5,60,30,5,1969,13,6,1969,Bank officials,,,Government,,99,0,0,99,$#2D,,,"10-day strike was called by bank officials. As under the country's labour legislation the strike was illegal, the Government authorized the employers to dismiss strikers and to recruit new staff. Negotiations between employers and strikers failed to end in agreement, and the UNTS decided to call a 48-hour general strike on June 11. President Senghor thereupon declared a state of emergency. The strike, however, was a failure and led to a split in the trade union movement"
Senegal,Dakar,6,60,24,3,1980,24,3,1980,Malian students,,,Malian government,,99,0,0,Malian Embassy,$#3A,,,Malian students occupied the Malian embassy in Dakar (Senegal) for several hours on March 24 to protest over the death of Mr Camara and to demand the release of other detainees in Mali.
Senegal,Dakar,7,60,99,3,1984,99,5,1984,Students,,,Government,,99,0,0,University,$#4A,,,"Students at the University of Dakar boycotted classes between March and May 1984, presenting a list of grievances to the authorities including demands for increased grants and better transport and other facilities, and expressing anxiety about the country's economic situation. In late April President Diouf ordered troops to seal off the campus and appealed to students to return to work. The government acceded to several of the students' demands in mid-May and the situation returned to normal."
Senegal,Dakar,8,51,99,7,1984,99,7,1984,Rival factions in the CNTS,,,Rival factions in the CNTS,Mr Madia Diop,99,6-Jan,1,CNTS headquarters,$#4B,,,"Violence broke out in the centre of Dakar in July when rival factions in the Confederation nationale des travailleurs senegalais (CNTS)-affiliated to the PS-clashed at the union's headquarters. Members of a minority faction opposed to the confederation's secretary-general, Mr Madia Diop, were apparently attacked while attempting to hold a meeting. At least one person was killed, while one report put the number of dead at six, with between 50 and 70 people injured. A strike by transport workers, who had been involved in the fighting, later took place."
Senegal,Dakar,9,40,16,4,1985,16,4,1985,Government,,,PDS members,,2,0,0,99,$#5A,,,"The secretary-general of the PDS, Mr Abdoulaye Wade was arrested in Dakar (the capital) along with some 11 other PDS members on April 16, 1985, on charges of having held an unauthorized demonstration; Mr Wade had on the previous day called upon his supporters to attend meetings at mosques and churches in order to pray for 'radical political change' in the country. Those arrested were released on April 24."
Senegal,Dakar,10,60,23,8,1985,23,8,1985,ADS,,,Apatheid in South Afrika,,99,0,0,99,$#5B,,,"Demonstration against apartheid in South Africa, called by ADS. Mr Wade and Mr Bathily were among some 15 people arrested on Aug. 23 on the grounds that they had participated in a demonstration which had been banned by the governor of Dakar. "
Senegal,Dakar,11,60,99,1,1987,99,2,1987,University students,,,Government,,99,0,0,99,$#6C,,,The government in February 1987 had agreed upon improvements in the payment of grants and in students' standards of living following a 32-day strike by students at the Cheikh Anta Diop University in Dakar.
Senegal,Dakar,12,60,13,4,1987,14,4,1987,Police,,,Government,,99,0,0,99,$#6B,,,"The entire police force was suspended after some of its members staged an illegal strike on April 13-14, 1987. Under the terms of the 1963 Constitution for approval of which , police officers were prohibited from striking. The immediate motive for the police action was the sentencing (to two-year prison terms) on April 10 of seven police officers who had been found guilty of torturing to death a detainee in 1983. Policemen were reportedly disgruntled that the commanding officer at the site of the incident was not charged; dissatisfaction with pay and conditions was also considered to be an influence in the police action. On the second day of the strike, which had been called in defiance of government warnings, scuffles broke out between police officers and gendarmes in the centre of Dakar."
Senegal,Dakar,13,31,99,2,1988,99,3,1988,Opposition supporters,Students,,Government,,99,2,1,99,$#6A,,,"Violence flared up in the streets of Dakar when preliminary election results showed a large majority for President Diouf and the PS. The government responded by declaring a state of emergency in the Dakar region on Feb. 29 and imposed a dusk till dawn curfew; some 400 soldiers were deployed in the capital. Schools and the university, from where Mr Wade drew much of his support, were closed following clashes between police and students, in which 13 students were arrested. The authorities denied reports that two people had been killed in the unrest. The National Assembly on March 11 approved a request from President Diouf for an indefinite extension of the state of emergency."
Senegal,Dakar,14,51,21,4,1989,25,4,1989,Senegalians,,,Mauritanians,,99,>1,1,99,$#7A,,,"Rioting broke out in Dakar on April 21-25, with thousands of Mauritanians taking refuge in their country's embassy and in the main mosque. A curfew was imposed in Dakar and a national state of emergency declared on April 28. Estimates of the numbers of people killed, contested by both governments, were most commonly given at around 400-450, the majority of them apparently in Mauritania."
Senegal,Dakar,15,60,19,10,1993,21,10,1993,Alliance of trade unions,,,Government,,99,0,0,99,$#8A,,,"Three-day strike strike by an alliance of trade unions against wage cuts. The strike was only partially observed in Dakar, while a call for similar action on Oct. 26 appeared by have had little affect."
Senegal,Dakar,16,60,16,2,1994,16,2,1994,Armed demonstrators,,,President Abdou Diouf,Government,99,6,1,99,$#10A,,,"Demonstrators marched towards the presidential palace calling for the overthrow of President Abdou Diouf. The government on Feb. 17 proscribed a radical Islamic movement, Moustarchidine Oua Moustarchidate (Men and Women Fighting for Truth, also known as ""Guides""). The ban came 24 hours after fighting in Dakar between security forces and thousands of armed demonstrators, in which five policemen and one civilian were killed."
Senegal,Dakar,17,60,17,2,1994,17,2,1994,Opposition  ,,,Government,,99,6,1,99,$#9A,,,Violent demonstrations organized by opposition parties in protest at the devaluation. Six people were killed.
Senegal,Dakar,18,60,28,9,2002,28,9,2002,Relatives of ferry victims,,,Government,,99,0,0,Presidential palace ,$#11A,,,"Crowds of distressed relatives had demonstrated outside the presidential palace in Dakar, demanding to know why the ferry, designed to carry 550 passengers, had been so overloaded, after an overcrowded ocean ferry sailing north from Ziguinchor to the capital, Dakar, capsized in a storm during the early hours of Sept. 27, killing almost 1,000 people."
Tanzania,Dar es Salaam,1,31,20,1,1964,20,1,1964,Army mutineers,,,Army officers,Government,99,>1,1,99,$#1A,,,"Army mutineers made their way into Dar-es-Salaam, where shooting took place in the streets, shops were looted by Africans, the post office was surrounded by rebels, and the airport was closed. Mr. Stephen Miles (the Acting British High Commissioner) and Mr. Job Lusinde (the Minister of Home Affairs) were arrested by mutineers, but were later released; in other incidents mutineers and uniformed members of the youth league of the Tanganyika African National Union (TANU) threatened and manhandled a number of Europeans, including a Czechoslovak diplomat. According to a Commonwealth Relations Office statement, 14 persons (all of them non-Europeans) were killed and about 120 injured in the riots."
Tanzania,Dar es Salaam,2,60,5,12,1965,5,12,1965,Demonstrators,,,British government,,99,0,0,99,$#2A,,,Mass demonstration against the British government in connection with disorders in southern Rhodesia. 
Tanzania,Dar es Salaam,3,31,13,5,1968,13,5,1968,99,,,Frelimo,,99,1,1,Frelimo's offices,$#4A,,,"Armed attack on Frelimo's offices in Dar-es-Salaam took place on May 13, 1968, one member of its central committee being killed and several of its supporters injured. The police arrested a former Roman Catholic priest, Mateus Gwensere, who had been agitating against Dr. Mondlane for a long time, and the Tanzanian Government closed the Mozambique Institute, the training centre for Frelimo guerrillas."
Tanzania,Dar es Salaam,4,60,26,9,1968,26,9,1968,Demonstrators,,,President Banda,Malawi,5,0,0,99,$#3A,,,Demonstrations against a claim to territories outside the present boundaries of Malawi was put forward by President Banda of Malawi in September. 
Tanzania,Dar es Salaam,5,31,12,6,1979,12,6,1979,PAC members,,,Mr Sibeko,Mr Make,2,1,1,99,$#5A,,,"Mr Sibeko (who had been the PAC representative at the UN) was killed and Mr Make was wounded in an attack on June 12, 1979, at the house where they were staying in Dar es Salaam; 19 PAC members were charged with this killing when preliminary hearings began in Dar es Salaam in October"
Tanzania,Dar es Salaam,6,60,15,7,1981,99,7,1981,Demonstrators,,,IMF,,99,0,0,99,$#6A,,,"A series of hostile demonstrations in Dar es Salaam in mid-July 1981 after President Nyerere had condemned ""outside institutions and countries"" for trying to force Tanzania to devalue its currency by 50 per cent, freeze wages, remove price controls, ease import restrictions, and raise bank interest rates after  The International Monetary Fund's (IMF) involvement in in the Tanzanian economy."
Tanzania,Dar es Salaam,7,31,18,4,1993,18,4,1993,Government,,,Kasim Bin Juma,,99,0,0,99,$#7A,,,"Kasim Bin Juma, imam of a mosque in Dar es Salaam, was arrested in connection with a series of attacks on pork butchers. According to local radio reports he was accused of incitement and plotting to overthrow the government."
Tanzania,Dar es Salaam,8,41,7,8,1998,7,8,1998,Martyr Abdullah Azzam battalion,,,US embassy,,99,10,1,US Embassy,$#8A,,,"Bomb attack on the US Embassy in Dar es Salaam. Ten people were killed, none of them US citizens, and around 75 were injured. The bomb was carried out by an Egyptian from the Martyr Abdullah Azzam battalion. The calls also reportedly said that the Saudi-born Islamic militant Osama bin Laden had issued a fatwa justifying the attacks and that the leader of the Egyptian Islamic fundamentalist group Al Jihad, Ayman al-Zawahiri, had also approved the action."
Tanzania,Dar es Salaam,9,31,16,10,2000,16,10,2000,Police,,,CUF members,,99,0,0,99,$#9A,,,Thirty CUF members were arrested in Dar es Salaam on Oct. 20 after an incident in which they allegedly attacked a group of government supporters after a CCM rally in the capital.
Bangladesh,Dhaka,1,60,1,2,1962,9,2,1962,Students,General Public,,Government,,3,0,0,Dacca University,$#1A,,,Students of Dacca University staged a protest strike on Feb. 1 and adopted a resolution demanding the release of all political detainees. 
Bangladesh,Dhaka,2,30,14,1,1964,14,1,1964,Moslem,,,Hindus,,99,150-1000,1,Dacca and nearby town,$#3A,,,"Assaults on Hindus, arson, and looting began in Dacca and the nearby town of Narayanganj on Jan. 14."
Bangladesh,Dhaka,3,30,26,4,1964,26,4,1964,Moslem,,,Hindus,,99,-99,0,99,$#2A,,,Moslem attacks on Hindus as a revenge action.
Bangladesh,Dhaka,4,60,6,7,1966,6,7,1966,Demonstrators,,,Government,,99,10,1,99,$#7A,,,"Violent mass demonstrations in East Pakistan in support of regional autonomy led to clashes with the police on June 7, 1966, in Dacca and Narayanganj."
Bangladesh,Dhaka,5,60,7,12,1968,13,12,1968,Demonstrators,,,Government,,99,2,1,99,$#6A,,,"During clashes between demonstrators and the police lasting several hours the police twice opened fire, killing two people and wounding 20 others. "
Bangladesh,Dhaka,6,60,20,1,1969,30,1,1969,Students,,,Government,,5,5,1,99,$#5A,,,Clashes between students and police in demonstration
Bangladesh,Dhaka,7,51,16,2,1969,16,2,1969,Demonstrators,,,Government,,5,-99,0,99,$#4A,,,Sergeant Zahurul Huq's funeral in Dacca on the following day gave rise to the most violent series of riots in East Pakistan since the disorders began
Bangladesh,Dhaka,8,60,17,2,1969,19,2,1969,Demonstrators,,,Government,,99,6,1,99,$#4B,,,"On learning of this incident, demonstrators surged into the streets of Dacca in defiance of the curfew and stoned the police, who opened fire, killing one person and wounding nine others. "
Bangladesh,Dhaka,9,60,20,2,1969,20,2,1969,Teachers,Hospital staff,,Government,,99,-99,0,99,$#8A,,,"At Dacca University the teachers had been on strike since Feb. 20, and the city's medical services almost broke down because of a strike of doctors, nurses, and hospital staffs."
Bangladesh,Dhaka,10,60,7,3,1969,21,3,1969,Demonstrators,,,Government,,99,39,1,99,$#8B,,,Radio Pakistan reported on March 21 that 39 people had been killed in Dacca alone in the past two weeks.
Bangladesh,Dhaka,11,60,1,1,1970,30,1,1970,Demonstrators,,,Government,,99,>0,1,99,$#10A,,,"In Dacca (East Pakistan) political meetings were disrupted on two occasions in that month, the resultant riots causing several deaths and hundreds of injuries"
Bangladesh,Dhaka,12,60,6,5,1970,6,5,1970,Demonstrators,,,US,,99,-99,0,99,$#9A,,,"Protest demonstrations against it took place in many cities throughout the world, including London, Rome, West Berlin, Stockholm, Helsinki, Belgrade, Dacca, Hong Kong and Auckland."
Bangladesh,Dhaka,14,40,2,3,1971,2,3,1971,Security forces,,,Demonstrator,,99,1,1,Dacca Airport,$#12A,,,One person was killed and seven wounded when security forces opened fire on a crowd blocking the highway near Dacca Airport
Bangladesh,Dhaka,13,60,2,3,1971,3,3,1971,Demonstrators,,,Government,,99,-99,0,99,$#12B,,,"A curfew was imposed in Dacca on March 3 after a night of violence, rioting and arson, though thousands of Bengalis were reported to be defying the curfew order."
Bangladesh,Dhaka,15,31,27,3,1971,27,3,1971,Pakistan Air Force,,,Dacca,,99,-99,0,99,$#11A,,,"The clandestine Bangla Desh radio said on March 27 that the Pakistan Air Force had bombed Dacca, Comilla and Khulna "
Bangladesh,Dhaka,16,41,99,9,1971,99,9,1971,Guerilla group,,,Government,,99,-99,0,Intercontinental Hotel,$#14A,,,"Guerrilla groups operating inside Dacca, which were reported to consist largely of students, bombed the Intercontinental Hotel early in September "
Bangladesh,Dhaka,17,41,3,11,1971,3,11,1971,Guerilla group,,,Government,,99,-99,0,Main Power Station,$#14B,,,"Guerrillas disguised as Pakistani soldiers entered the city's main power station on Nov. 3 and destroyed three of the four main generators, bringing industry to a standstill within a 30-mile radius, "
Bangladesh,Dhaka,18,41,30,11,1971,30,11,1971,99,,,Government,,99,-99,0,Pakistan Motor Company,$#13A,,,"A bomb exploded at the Pakistan Motor Company on Nov. 30, destroying a garage and petrel pumps, "
Bangladesh,Dhaka,19,41,1,12,1971,1,12,1971,99,,,Government,,99,-99,0,Pakistan People's Party,$#13B,,,Headquarters of the Pakistan People's Party were wrecked by an explosion on the following day
Bangladesh,Dhaka,20,31,9,12,1971,9,12,1971,Indian Aircraft,,,Dacca,,99,300,1,99,$#15A,$#16A,,"Meanwhile the bombing of Dacca continued; Indian aircraft bombing the railway yards hit an orphanage 150 yards away, killing about 300 boys"
Bangladesh,Dhaka,21,41,13,12,1971,14,12,1971,Al Badr,,,Victims,,99,140,1,99,$#17A,,,"Mr. Quddus stated on Dec. 21 that about 140 doctors, engineers, professors, journalists, writers and lawyers had been kidnapped in Dacca on Dec. 13-14 by members of Al Badr (the student wing of the extreme right-wing Jamaat-i-Islami), and had been tortured and murdered on Dec. 14-15 at a physical training institute near Mohammedpur. "
Bangladesh,Dhaka,22,31,14,12,1971,14,12,1971,Indian Army,,,Dacca,,99,-99,0,99,$#15B,,,"The Indian Army began shelling Dacca on Dec. 14, while aircraft attacked the city with rockets, meeting virtually no anti-aircraft fire; many civilians were reported to have been killed."
Bangladesh,Dhaka,23,41,99,99,1971,99,99,1971,Guerilla group,,,Government,,99,-99,0,Educational Institution,$#14C,,,"Other guerrilla activities in Dacca during this period included the bombing of educational institutions, which were under the Army's control"
Bangladesh,Dhaka,24,60,3,9,1972,3,9,1972,Demonstrators,,,Government,,99,-99,0,99,$#18A,,,Maulana Bhashani demanded at a demonstration in Dacca on Sept. 3 that the Government should be replaced by an all-party coalition headed by Sheikh Mujib.
Bangladesh,Dhaka,25,41,6,9,1973,6,9,1973,99,,,Students,,99,24,1,Dacca University,$#19A,,,"At Dacca University 24 students were killed when masked men raided the university during student elections on Sept. 6, 1973."
Bangladesh,Dhaka,26,50,17,3,1974,17,3,1974,Police,,,National socialist demonstrators,,99,3,1,99,$#20A,,,"On March 17, 1974, the police opened fire on National Socialist demonstrators in Dacca who had attacked Mr. Mansoor Ali's house."
Bangladesh,Dhaka,27,41,5,4,1974,5,4,1974,99,,,Students,,99,7,1,99,$#19B,,,"And an armed gang shot dead seven students on April 5, 1974."
Bangladesh,Dhaka,28,41,15,8,1975,15,8,1975,Officers,,,President,,99,2,1,99,$#21A,,,"Sheikh Mujibur Rahman, the President of Bangladesh since January 1975 and previously Prime Minister from January 1972, shortly after the establishment of the country, was killed in a coup in Dacca in the early morning of Aug.15"
Bangladesh,Dhaka,29,60,5,11,1975,5,11,1975,Demonstrators,,,Government,,4,-99,0,99,$#25A,,,"A general strike took place in protest in Dacca on Nov. 5, and 5,000 students marched through the streets demanding President Moshtaque's resignation and the punishment of those responsible for the murder of President Mujib and the four ministers."
Bangladesh,Dhaka,30,50,7,11,1975,17,11,1975,Soldiers,,,Government officers,,99,34,1,99,$#23A,$#24A,,"Mr Simons reported on Nov.17 that in Dacca at least 34 officers, some of their wives and children and nearly 100 soldiers were understood to have been killed."
Bangladesh,Dhaka,31,41,26,11,1975,26,11,1975,99,,,Indian High Commissioner,,99,4,1,99,$#22A,,,"Mr Samar Sen, the Indian high commissioner in Dacca, was wounded on Nov.26 when six armed men opened fire as he was about to enter the high commission. "
Bangladesh,Dhaka,32,41,18,12,1976,18,12,1976,99,,,Government,,99,-99,0,99,$#26A,,,At least 17 people were injured in two bomb explosions in Dacca on Dec. 18.
Bangladesh,Dhaka,33,50,2,10,1977,3,10,1977,Soldiers,,,Government,,99,230,1,99,$#28A,,,Unsuccessful military coup.
Bangladesh,Dhaka,34,60,99,3,1979,99,3,1979,Demonstrators,,,Egyptian Embassy,,99,-99,0,Egyptian Embassy in Dacca,$#29A,,,"Major incidents including the temporary occupation of the Egyptian embassies in Kuwait, Tehran and Dacca "
Bangladesh,Dhaka,35,60,21,11,1979,21,11,1979,Demonstrators,,,US,,99,-99,0,99,$#30A,,,"In Bangladesh, despite a ban on demonstrations, a large crowd chanted anti-American and anti-Zionist slogans in Dacca."
Bangladesh,Dhaka,36,60,9,2,1980,9,2,1980,Demonstrators,,,Government,,99,-99,0,99,$#32A,,,"The opposition parties called a general strike in Dacca on Feb. 9, 1980, as a protest against the shooting of three prisoners in Rajshahi jail. "
Bangladesh,Dhaka,37,60,19,3,1980,23,3,1980,Prisoner,,,Government,,3,-99,0,Dacca Central Jail,$#31A,,,"Over 350 of them went on hunger strike in Dacca Central Jail on March 19-23, 1980, demanding the right to appeal against their sentences."
Bangladesh,Dhaka,38,60,21,3,1980,21,3,1980,Employee,,,Government,,6,-99,0,99,$#32C,,,"Over 500,000 low-paid government employees began an indefinite strike on March 21."
Bangladesh,Dhaka,39,41,23,5,1980,23,5,1980,99,,,Government,,99,7,1,99,$#32D,,,"A time bomb exploded on May 23, 1980, while Khandaker Moshtaque Ahmed was addressing a political meeting in Dacca."
Bangladesh,Dhaka,40,51,5,6,1980,5,6,1980,Prisoner,,,Warders,,99,-99,0,Dacca Central Jail,$#31B,,,21 warders were injured in clashes with prisoners in Dacca Central Jail on June 5 during protests against the execution of four Awami League supporters on the previous day.
Bangladesh,Dhaka,41,60,7,6,1980,7,6,1980,Demonstrators,,,Government,,99,-99,0,99,$#32B,,,Further clashes occurred on June 7 during a six-hour general strike called by the Awami League as a protest against the execution of four of its supporters.
Bangladesh,Dhaka,42,60,24,5,1981,24,5,1981,Demonstrators,,,India,,99,-99,0,99,$#33A,,,"Hostile demonstrations took place outside the Indian high commission in Dacca and the Bangladesh deputy high commission in Calcutta, and the Indian Airlines office in Dacca was attacked and seriously damaged by demonstrators on May 24."
Bangladesh,Dhaka,43,60,23,9,1981,23,9,1981,Demonstrators,,,Government,,99,-99,0,99,$#34A,,,The executions sparked off severe riots in Dacca.
Bangladesh,Dhaka,44,60,28,11,1983,30,11,1983,Demonstrators,,,Government,,5,4,1,99,$#35B,,,Anti-government demonstrations in protest against the election timetable
Bangladesh,Dhaka,45,51,14,2,1984,15,2,1984,Students,,,Police,,99,1,1,99,$#35A,,,Clashes between students and police in which one person died and 100 were injured.
Bangladesh,Dhaka,46,60,99,3,1984,4,4,1984,Demonstrators,,,Government,,6,-99,0,99,$#35C,,,Further anti-government demonstrations during March and on April 4.
Bangladesh,Dhaka,47,60,26,7,1984,1,8,1984,Opposition group,,,Begum Khaleda,,99,-99,0,99,$#36A,,,Protests was launched against what Begum Khaleda described as the 'illegal government of Gen. Ershad'
Bangladesh,Dhaka,48,60,27,8,1984,27,8,1984,Opposition group,,,Government,,99,-99,0,99,$#36B,,,A half-day general strike called by the opposition alliance
Bangladesh,Dhaka,49,60,14,10,1984,14,10,1984,Opposition group,,,Gen. Ershad,,6,-99,0,99,$#36C,,,Opposition leaders rejected Gen. Ershad's election programme and repeated their intention not to participate in the parliamentary elections unless martial law was first withdrawn completely
Bangladesh,Dhaka,50,60,8,12,1984,8,12,1984,Demonstrators,,,Police,,99,-99,0,Dhaka University,$#36D,,,"A number of disturbances involving police and demonstrators were reported, including one at Dhaka University"
Bangladesh,Dhaka,51,60,23,3,1985,23,3,1985,Opposition group,,,Government,,99,-99,0,99,$#37A,,,A week-long protest in an effort to force the cancellation of the upazilla elections. Three policeman were seriously injured.
Bangladesh,Dhaka,52,31,5,8,1985,5,8,1985,99,,,Government,,99,13,1,Court,$#37C,,,A series of explosions at a court in Dhaka on Aug. 5
Bangladesh,Dhaka,53,51,9,10,1985,9,10,1985,Anti-government students,,,Pro-government students,,99,4,1,College in Dhaka,$#37B,,,At least four students were killed and about 50 were injured in a clash betwen pro- and anti-government student groups
Bangladesh,Dhaka,54,60,6,1,1986,6,1,1986,Opposition group,,,Government,,99,-99,0,99,$#41A,,,Strike in protest at the continuation of martial law and non-party government
Bangladesh,Dhaka,55,51,8,1,1986,8,1,1986,Anti-government students,,,Pro-government students,,99,-99,0,Dhaka University,$#40A,,,Fighting on Jan. 8 between student supporters of the government and those of various opposition parties.
Bangladesh,Dhaka,56,51,20,2,1986,20,2,1986,Anti-government students,,,Pro-government students,,99,-99,0,99,$#40B,,,Fighting between rival students at a ceremony in Dhaka.
Bangladesh,Dhaka,57,60,8,3,1986,8,3,1986,Opposition group,,,Government,,99,-99,0,99,$#41B,,,Strikes and a number of incidents including explosion.
Bangladesh,Dhaka,58,51,22,3,1986,22,3,1986,Demonstrators,,,Police,,99,-99,0,Police station near Dhaka University,$#41C,,,During the strike at least 18 people were injured when police retaliated with teargas after a police station near Dhaka University was attacked
Bangladesh,Dhaka,59,31,28,4,1986,28,4,1986,99,,,Awami League,,99,1,1,99,$#40C,,,"A former Awami League MP, Mr Rabiul Awal Kiron, was shot dead by unidentified assailants on the outskirts of Dhaka on April 28"
Bangladesh,Dhaka,60,60,30,4,1986,30,4,1986,Bihari Community,,,Government,,99,-99,0,99,$#38A,,,Members of the Bihari community held a protest demonstration in Dhaka to draw attention to their situation
Bangladesh,Dhaka,61,40,5,5,1986,5,5,1986,Paramilitary forces,,,Protester,,99,-99,0,Baitul Mukarram mosque,$#42A,,,Paramilitary forces converged on the Baitul Mukarram mosque in Dhaka on May 5 and arrested 50 men who had been making speeches in support of an election boycott
Bangladesh,Dhaka,62,60,9,7,1986,11,7,1986,Opposition group,,,Government,,99,-99,0,99,$#39A,,,Clashes between the opposition group and security forces.
Bangladesh,Dhaka,63,31,12,10,1986,13,10,1986,99,,,Government,,99,2,1,99,$#44A,,,"Over 15 bombs exploded throughout Dhaka (the capital) on Oct. 12, killing two people and injuring 45 others."
Bangladesh,Dhaka,65,60,10,11,1986,10,11,1986,Students,,,Police,,99,1,1,Dhaka University,$#43A,,,Police and students were in conflict at Dhaka University throughout the morning of Nov. 10 resulting in one death and at least 10 casualties.
Bangladesh,Dhaka,64,31,10,11,1986,10,11,1986,BNP supporter,,,Awami League,,99,-99,0,Dhaka office of BCP,$#43B,,,BNP supporters set fire to the Dhaka offices of the Bangladesh Communist Party (BCP) in protest at the decision of the Awami League and the multi-party alliance (of which the BCP was a member) not to support the strike. 
Bangladesh,Dhaka,66,60,16,2,1987,16,2,1987,Demonstrators,,,Government,,99,-99,0,99,$#45A,,,General strikes or hartal called ostensibly in protest at the government's economic record  were observed in Dhaka and other major cities on Feb. 16
Bangladesh,Dhaka,67,60,30,6,1987,30,6,1987,Demonstrators,,,Government,,99,-99,0,99,$#45B,,,General strikes or hartal called ostensibly in protest at the government's economic record
Bangladesh,Dhaka,68,60,12,7,1987,13,7,1987,Trade unionists,,,Government,,7,-99,0,99,$#45C,,,"A 24-hour general strike on July 12-13 originally called by trade unionists in protest at the government's privatization plans, turned into the longest and most violent anti-government protest since martial law was lifted in November 1986"
Bangladesh,Dhaka,69,60,22,7,1987,24,7,1987,Demonstrators,,,Government,,99,7,1,99,$#45D,,,A 54-hour general strike beginning July 22 with the specific aim of forcing the government's downfall.
Bangladesh,Dhaka,70,60,30,7,1987,30,7,1987,Sheikh Hasina,,,Government,,99,-99,0,99,$#45E,,,On July 30 Sheikh Hasina led a march on the government's offices in Dhaka in an attempt to force President Ershad's resignatio
