Id,ORIG_FID,Longitude,Latitude
0,0,102.913745085667244,11.648522504909749
0,0,102.913745085667244,11.689462112186789
0,0,102.911336872998334,11.750871524001695
0,0,102.898091705567822,11.778565964747543
0,0,102.882438326367719,11.799035768386034
0,0,102.866784947167616,11.808668617262924
0,0,102.861968522729228,11.823117890578260
0,0,102.847519249413892,11.839975376562450
0,0,102.821028914552812,11.888139620946788
0,0,102.818620702783278,11.915834060793316
0,0,102.811396065675922,11.942324395654396
0,0,102.794538580591109,11.961590093408120
0,0,102.792130367922198,11.977243472608222
0,0,102.781293413160540,11.996509170361946
0,0,102.778885201391006,12.029020035546239
0,0,102.773918503835944,12.034273791302496
0,0,102.774074555996037,12.039267460424981
0,0,102.774074555996037,12.041608241926895
0,0,102.774230608156074,12.045353493768744
0,0,102.774386660316168,12.047850328330014
0,0,102.774698764636355,12.050503215051378
0,0,102.774698764636355,12.053624258252967
0,0,102.774698764636355,12.056121092814237
0,0,102.771577721434767,12.060334500237047
0,0,102.770173252893358,12.063299491278542
0,0,102.770017200733264,12.066420534480130
0,0,102.770017200733264,12.067668951760766
0,0,102.771265617114580,12.069697629841812
0,0,102.771889825754897,12.070946047122447
0,0,102.771577721434767,12.072506568723213
0,0,102.770485357213545,12.074535245904940
0,0,102.769705096413134,12.075471558865388
0,0,102.767988522652274,12.076095767505706
0,0,102.766271948891415,12.076251819665799
0,0,102.763931166490181,12.077656289106528
0,0,102.762214592729322,12.079528915027481
0,0,102.760029862488238,12.080309175827836
0,0,102.758469340887416,12.081401540948377
0,0,102.757845132247098,12.082337853908882
0,0,102.757689080087061,12.083274166869330
0,0,102.755972506326145,12.087799679511647
0,0,102.752227255383616,12.094509921495728
0,0,102.749574368662252,12.095290182296139
0,0,102.746609377620757,12.097162808217092
0,0,102.745673064660252,12.100752007898905
0,0,102.742708073618758,12.102000425179540
0,0,102.740055186897393,12.105745677021446
0,0,102.734281257873818,12.115420910047021
0,0,102.734437310033911,12.120102474849375
0,0,102.732408631952865,12.125252195232690
0,0,102.731160214672229,12.127749029793961
0,0,102.729911797391594,12.129621655714914
0,0,102.727414962830323,12.131650333795903
0,0,102.725542336909371,12.131962438116091
0,0,102.720704719946923,12.135083481317679
0,0,102.717739729804748,12.140077150440163
0,0,102.717271573324524,12.142730036262208
0,0,102.711822232110364,12.150289203184229
0,0,102.710417762669692,12.154277896108056
0,0,102.710136868421785,12.157985694784031
0,0,102.709799796223649,12.159558700773459
0,0,102.710530120368844,12.161581136660175
0,0,102.709687438524554,12.165513650734454
0,0,102.708788577830660,12.168828198362689
0,0,102.705024600305137,12.172648355637136
0,0,102.706766141943945,12.183940289113082
0,0,102.707945895986370,12.187479552139678
0,0,102.711597516712061,12.192198569208642
0,0,102.712721091904939,12.195456937987331
0,0,102.712721091904939,12.196973764227891
0,0,102.711485159012966,12.198771485615623
0,0,102.710642477168619,12.200625384953582
0,0,102.709687438524554,12.203378144985436
0,0,102.709294186577495,12.205400580872151
0,0,102.709743617374102,12.207647732157170
0,0,102.711372801313814,12.212479106025967
0,0,102.711990767759801,12.215681296854427
0,0,102.712608735105107,12.218265520337525
0,0,102.714181740195215,12.221074459218983
0,0,102.715417673087188,12.221355352567514
0,0,102.716822142527917,12.220456492772996
0,0,102.717777182071359,12.220625028422376
0,0,102.718395148517345,12.222366570960503
0,0,102.719462544860619,12.229950705760530
0,0,102.718226611968646,12.233265253388765
0,0,102.718732220715481,12.242085321080765
0,0,102.718282790818193,12.244613365714315
0,0,102.718788399565028,12.247197589197413
0,0,102.718114254269494,12.249837991530114
0,0,102.717159215625372,12.251748069717678
0,0,102.716204176081931,12.252927823760103
0,0,102.714799706641202,12.256635623335399
0,0,102.714294097894367,12.259332204517648
0,0,102.714013203646516,12.261129925006060
0,0,102.714069382496064,12.264444472634352
0,0,102.714968243189958,12.265680406425645
0,0,102.716878321377465,12.268096093360043
0,0,102.718282790818193,12.272084786283926
0,0,102.720417584404061,12.277140876450346
0,0,102.720642299802364,12.281635178121007
0,0,102.721653517296033,12.282365502266146
0,0,102.723507416634050,12.288376631076687
0,0,102.723451237784445,12.289275491770582
0,0,102.725473673671161,12.294837189784516
0,0,102.726428713214602,12.297983201763373
0,0,102.726878143111890,12.301073033993362
0,0,102.727327573908497,12.302983112180925
0,0,102.727327573908497,12.305117905766792
0,0,102.726428713214602,12.306747090605768
0,0,102.726878143111890,12.309050419841071
0,0,102.727496109557876,12.311185213426882
0,0,102.726821964262285,12.314949190952461
0,0,102.726821964262285,12.316859270039345
0,0,102.726541070913754,12.319387314672895
0,0,102.727439931607591,12.323319828747174
0,0,102.726934321961437,12.327645594768455
0,0,102.726484892064150,12.330454532750537
0,0,102.724687171575795,12.332645505185951
0,0,102.724462456177491,12.336802734658534
0,0,102.725361316871329,12.338544276297341
0,0,102.725979283317315,12.341746467125802
0,0,102.725923104467768,12.343600366463818
0,0,102.725248959172177,12.344105975210653
0,0,102.724574813876643,12.346240768796520
0,0,102.725024243773873,12.353656367047734
0,0,102.725754567919012,12.358487741815907
0,0,102.726147818966751,12.364386512927297
0,0,102.728394970251713,12.367307809507849
0,0,102.732664557423448,12.370790893684841
0,0,102.732608378573900,12.372363898774950
0,0,102.735417317455301,12.375959340651093
0,0,102.737215037943713,12.376352591698776
0,0,102.739012758432125,12.378487385284643
0,0,102.740866658669404,12.381801932912936
0,0,102.741428446265843,12.383936726498803
0,0,102.742664379157816,12.386352414332521
0,0,102.745023887242667,12.388206313670480
0,0,102.748675507968358,12.390116391858044
0,0,102.749911440860387,12.390509642905727
0,0,102.750697943855073,12.391464682449168
0,0,102.753619240435683,12.392195006594307
0,0,102.755978748520477,12.392195006594307
0,0,102.759686548095772,12.393936548233171
0,0,102.762607843777005,12.393936548233171
0,0,102.765135889309931,12.393318581787184
0,0,102.768338079239015,12.394273621330626
0,0,102.770753766173414,12.394105084781870
0,0,102.771427911469004,12.393655654884640
0,0,102.772832380909733,12.394610693528705
0,0,102.774798637946844,12.396183699518190
0,0,102.777214325780562,12.398262314254453
0,0,102.779068225118579,12.400060034742864
0,0,102.781764806300828,12.400340928990715
0,0,102.784068136435394,12.400397107840320
0,0,102.785304069327424,12.400397107840320
0,0,102.785023175079516,12.403486940070252
0,0,102.785978214622958,12.405172303758889
0,0,102.787719756261822,12.411632862466661
0,0,102.787157968665383,12.414329443648967
0,0,102.787270326364535,12.415565376540940
0,0,102.786259107971489,12.417700170126807
0,0,102.786652359918548,12.419722606013522
0,0,102.785360248176971,12.423486584438365
0,0,102.784742281730985,12.425340483776381
0,0,102.783899599886695,12.427531456211796
0,0,102.782101879398283,12.431295433737318
0,0,102.782158057348511,12.433711120671717
0,0,102.781933342849527,12.434722339064763
0,0,102.781427734102692,12.435059411262841
0,0,102.779236761667278,12.435845914257584
0,0,102.778506437522140,12.436070629655887
0,0,102.778000828775305,12.436126808505435
0,0,102.776540180485028,12.435733556558432
0,0,102.774405386899161,12.435396484360297
0,0,102.773506526205267,12.436913311500177
0,0,102.771540269168156,12.439385177284180
0,0,102.770529051674430,12.441014362123155
